Depth,Vp,Vs,Density,Vshale,Peff,Sw,Litho
3203.4968,2840.0090332,1408.6186523,2.4340000153,0.9502758384,0.0089787627,1.0,3.0
3203.6492,2850.9135742,1432.657959,2.4323000908,0.8642500639,0.0246444233,1.0,3.0
3203.8016,2865.4238281,1433.6843262,2.4381000996,0.834132731,0.0295622759,1.0,3.0
3203.954,2879.4619141,1433.8293457,2.4381999969,0.8679224253,0.0235324502,1.0,3.0
3204.1064,2871.7653809,1443.3745117,2.4495999813,0.9098051786,0.0154825868,1.0,3.0
3204.2588,2856.3583984,1447.6674805,2.469700098,0.8979620934,0.0163435526,1.0,3.0
3204.4112,2847.2329102,1433.0506592,2.4978001118,0.840777576,0.0229462162,1.0,3.0
3204.5636,2838.7023926,1408.1787109,2.5002999306,0.8257034421,0.0248696357,1.0,3.0
3204.716,2836.3012695,1413.7225342,2.4795000553,0.8441310525,0.024092881,1.0,3.0
3204.8684,2833.7539063,1403.9425049,2.450799942,0.8847516774999999,0.0197041743,1.0,3.0
3205.0208,2829.2141113,1402.7175293,2.4358000755,0.9155620933,0.0151602188,1.0,3.0
3205.1732,2829.7758789,1399.572998,2.4340999126,0.9241776466,0.013687022,1.0,3.0
3205.3256,2834.3918457,1406.1051025,2.4444000721,0.9360206723,0.0111726159,1.0,3.0
3205.478,2835.4648438,1417.0167236,2.447799921,0.9288620949,0.0122845033,1.0,3.0
3205.6304,2830.4489746,1414.2564697,2.4607999325,0.921200037,0.0130222598,1.0,3.0
3205.7828,2839.5512695,1404.4161377,2.4607000351,0.8447551131,0.0256641954,1.0,3.0
3205.9352,2857.1696777,1407.5252686,2.4735000134,0.8621448874,0.0217811074,1.0,3.0
3206.0876,2864.2526855,1415.6806641,2.4795999527,0.8586120605,0.0218464602,1.0,3.0
3206.24,2856.8989258,1422.6357422,2.4842000008,0.9211809635,0.0119714858,1.0,3.0
3206.3924,2834.8186035,1425.5134277,2.4769001007,0.9178242087,0.0128241144,1.0,3.0
3206.5448,2819.501709,1414.6931152,2.4797000885,0.8987464905,0.0156393219,1.0,3.0
3206.6972,2832.5849609,1405.5909424,2.4886000156,0.9007068276,0.0148315616,1.0,3.0
3206.8496,2846.9909668,1403.9697266,2.4960999489,0.8867086172,0.0164369643,1.0,3.0
3207.002,2847.9780273,1401.9420166,2.4816000462,0.8814412951,0.0181835163,1.0,3.0
3207.1544,2843.3339844,1452.7734375,2.4593999386,0.9084311128,0.015205672,1.0,3.0
3207.3068,2824.3718262,1433.4200439,2.4319000244,0.8657672405,0.0243996792,1.0,3.0
3207.4592,2823.7856445,1429.9976807,2.410200119,0.8527309895,0.0285954233,1.0,3.0
3207.6116,2846.4060059,1416.8553467,2.4142999649,0.7472172379,0.0484909602,1.0,3.0
3207.764,2865.7199707,1394.3352051,2.424200058,0.7908861637,0.0389310159,1.0,3.0
3207.9164,2870.8161621,1457.2122803,2.4409999847,0.8307223916,0.029889591,1.0,3.0
3208.0688,2864.675293,1458.2322998,2.4493000507,0.9211637378,0.0135463197,1.0,3.0
3208.2212,2853.6894531,1456.7547607,2.4537000656,0.9095103741,0.015321183,1.0,3.0
3208.3736,2842.4960938,1449.647583,2.4500000477,0.9028983116,0.0166460015,1.0,3.0
3208.526,2842.5969238,1424.1359863,2.4489998817,0.8804068565,0.0205700286,1.0,3.0
3208.6784,2851.9003906,1413.7513428,2.4642000198,0.8358103037,0.0268145204,1.0,3.0
3208.8308,2859.4130859,1409.2784424,2.4802999496,0.8177775741,0.028083086,1.0,3.0
3208.9832,2859.8666992,1418.0603027,2.4967000484,0.8273482323,0.024990106,1.0,3.0
3209.1356,2857.1723633,1431.9729004,2.5053999424,0.8696724176,0.0182160772,1.0,3.0
3209.288,2855.9355469,1444.1582031,2.4990000725,0.8578258157,0.0203918349,1.0,3.0
3209.4404,2858.7346191,1444.6716309,2.4667999744,0.8416758776,0.0256213695,1.0,3.0
3209.5928,2863.526123,1433.2697754,2.4467999935,0.853520751,0.0253785755,1.0,3.0
3209.7452,2870.8486328,1443.7416992,2.4419000149,0.8792465329,0.021259509,1.0,3.0
3209.8976,2875.1408691,1458.7996826,2.4495999813,0.8880826831,0.0192114096,1.0,3.0
3210.05,2865.2192383,1471.3016357,2.4284999371,0.8191741705,0.0332202949,1.0,3.0
3210.2024,2852.8881836,1461.4379883,2.4119000435,0.7976413369,0.0390956886,1.0,3.0
3210.3548,2846.315918,1445.2470703,2.4216001034,0.7867689729,0.0400143154,1.0,3.0
3210.5072,2840.744873,1425.2915039,2.445100069,0.838927567,0.0280634146,1.0,3.0
3210.6596,2841.1765137,1405.5980225,2.4681999683,0.8336586952,0.0267857071,1.0,3.0
3210.812,2847.6052246,1394.3045654,2.4570999146,0.8626121283,0.0229948126,1.0,3.0
3210.9644,2854.5446777,1400.5821533,2.4481999874,0.906275928,0.0161633864,1.0,3.0
3211.1168,2857.2980957,1420.6558838,2.4395000935,0.9696861506,0.0053785411,1.0,3.0
3211.2692,2851.6496582,1416.9296875,2.4470000267,1.0015120506,-0.000261801,1.0,3.0
3211.4216,2846.3952637,1412.5452881,2.4440000057,0.9896690249,0.0018064447,1.0,3.0
3211.574,2844.7111816,1386.5461426,2.4388999939,0.9698086381,0.0053671617,1.0,3.0
3211.7264,2838.2927246,1387.7373047,2.4251999855,0.903529346,0.017904954,1.0,3.0
3211.8788,2834.9611816,1391.8983154,2.4226000309,0.8864241242,0.0212484226,1.0,3.0
3212.0312,2838.2451172,1386.2926025,2.4316000938,0.9008999467,0.018030541,1.0,3.0
3212.1836,2837.6428223,1393.6358643,2.4437999725,0.9734172225,0.004651227,1.0,3.0
